product_clean,price,Macro_Category,Master_Category,Subcategory,Category
alfamart sedotan plastik flexibel 50 pcs,10900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
alfamart sarung tangan plastik 100 pcs,14500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
alfamart piring plastik 20 pcs,19100.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bright tabung gas elpiji (kosong) 5.5 kg,330000.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
sgi botol minum warna warni assorted 530 ml,29900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
sgi botol minum bola 530 ml,29900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
hi-cook tabung gas mini portabel 230 g,26500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
gema tabung gas mini portabel 250 g,25500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
wonder fuel tabung gas mini portabel 220 g,25900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
alfamart tempat makan 750 ml 5 pcs,17900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
alfamart gelas kertas kecil 15 pcs,18500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
alfamart sendok makan plastik 10 pcs,10100.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bright gas elpiji (refill) 5.5 kg,117500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bright gas elpiji (refill) 12 kg,247500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bagus kantong plastik zipper bag double lock 17 x 15 cm 30 s,23900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bagus kantong plastik zipper bag double lock 33 x 40 cm 12 s,38900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bagus aluminium foil pembungkus makanan refill 30 x 7 cm,19500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bagus cling plastik wrap pembungkus serbaguna box 30 x 20 cm,23900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bagus cling plastik wrap pembungkus serbaguna refill 30 x 30 cm,19900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
klin pak plastik wrap pembungkus serbaguna box 30 m,24500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
hi-cook noorthgaz tabung gas mini portabel 235 g,21000.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bagus zipper bag kids kantong plastik triple lock pouch 18 x 18 cm 25 s,39900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
hi-cook korek api pemantik gas lighter assorted color 1 pcs,17900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
bright gas tabung gas mini portabel 220 g,26500.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
kenmaster korek api pemantik gas lighter jw690 1 pcs assorted,20900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
hi-cook fuel bahan bakar korek api pemantik gas 80 g,9900.0,NEEDS,Kebutuhan Rumah & Mandi,Perlengkapan Dapur & Ruang Makan,Kebutuhan Dapur
kewpie salad dressing wijen sangrai botol 200 ml,29900.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
abc kecap inggris botol 195 ml,16300.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
diabetamil pemanis gula rendah kalori 50 pcs,34200.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
indofood sambal pedas botol 135 ml,8100.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
abc sambal ekstra pedas botol 335 ml,18700.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
la fonte saus pasta bolognese 315 g,18500.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
abc saus tomat botol 270 ml,17100.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
bango kecap manis refill 950 g,34500.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
mamasuka delisaos saus sambal ekstra pedas hot lava volcano botol 260 ml,17200.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
indofood kecap manis refill 725 g,19200.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
alfamart kacang hijau mentah 250 g,11500.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
saori saus oriental lada hitam botol 133 ml,10900.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
koepoe koepoe lada putih bubuk bumbu dapur 85 g,30900.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
la fonte chicken bolognese saus pasta 290 g,17900.0,NEEDS,Makan & Minum Harian,Bahan Masakan,Kebutuhan Dapur
