source,raw_category,raw_subcategory,product_name_raw,price,product_clean,price_missing,has_price,Master_Category,Macro_Category,raw_category_refined,drop_reason
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Tabung Gas Elpiji (Kosong) 5.5 kg,330000.0,bright tabung gas elpiji kosong 5.5 kg,False,True,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 5.5 kg (C),,bright gas elpiji refill 5.5 kg c,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Tabung Gas Elpiji (Kosong) 12 kg (A),,bright tabung gas elpiji kosong 12 kg a,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 5.5 kg (B),,bright gas elpiji refill 5.5 kg b,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 12 kg (C),,bright gas elpiji refill 12 kg c,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 12 kg (B),,bright gas elpiji refill 12 kg b,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Alfamart Disney Chopper Bumbu Mickey Mouse Assorted,,alfamart disney chopper bumbu mickey mouse assorted,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Tabung Gas Elpiji (Kosong) 5.5 kg (A),,bright tabung gas elpiji kosong 5.5 kg a,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 5.5 kg (A),,bright gas elpiji refill 5.5 kg a,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Freemir Set Teko & Cangkir 5 pcs,,freemir set teko & cangkir 5 pcs,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 12 kg (A),,bright gas elpiji refill 12 kg a,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Tabung Gas Elpiji (Kosong) 12 kg,,bright tabung gas elpiji kosong 12 kg,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Freemir Chopper Manual Mini Serbaguna 170 ml,,freemir chopper manual mini serbaguna 170 ml,True,False,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 5.5 kg,117500.0,bright gas elpiji refill 5.5 kg,False,True,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,perlengkapan dapur & ruang makan,Bright Gas Elpiji (Refill) 12 kg,247500.0,bright gas elpiji refill 12 kg,False,True,Kebutuhan Rumah & Mandi,NEEDS,household & personal care,bad_product_name
alfagift,kebutuhan dapur,bahan masakan,Indofood Sambal Pedas Botol 135 ml,8100.0,indofood sambal pedas botol 135 ml,False,True,Makan & Minum Harian,NEEDS,daily food,bad_product_name
alfagift,kebutuhan dapur,bahan masakan,ABC Sambal Ekstra Pedas Botol 335 ml,18700.0,abc sambal ekstra pedas botol 335 ml,False,True,Makan & Minum Harian,NEEDS,daily food,bad_product_name
alfagift,kebutuhan dapur,bahan masakan,La Fonte Saus Pasta Bolognese 315 g,18500.0,la fonte saus pasta bolognese 315 g,False,True,Makan & Minum Harian,NEEDS,daily food,bad_product_name
alfagift,kebutuhan dapur,bahan masakan,ABC Saus Tomat Botol 270 ml,17100.0,abc saus tomat botol 270 ml,False,True,Makan & Minum Harian,NEEDS,daily food,bad_product_name
