date,master_category,target_daily_category_amount,transaction_count,avg_transaction_amount,daily_total_amount,category_share_of_day,day_of_week,day_of_month,month,week_of_year,year_month,is_weekend,is_payday,is_month_start,is_month_end,days_until_month_end,amount_lag_1,amount_lag_7,rolling_mean_7,rolling_sum_7,month_to_date_amount_before_today
2025-01-01,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,1685067.0,0.0,2,1,1,1,2025-01,0,1,1,0,30,0.0,0.0,0.0,0.0,0.0
2025-01-02,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,88800.0,0.0,3,2,1,1,2025-01,0,1,0,0,29,0.0,0.0,0.0,0.0,0.0
2025-01-03,Kebutuhan Rumah & Mandi,21000.0,1.0,21000.0,109800.0,0.1912568306010929,4,3,1,1,2025-01,0,1,0,0,28,0.0,0.0,0.0,0.0,0.0
2025-01-04,Kebutuhan Rumah & Mandi,13900.0,1.0,13900.0,102700.0,0.13534566699123662,5,4,1,1,2025-01,1,0,0,0,27,21000.0,0.0,7000.0,21000.0,21000.0
2025-01-05,Kebutuhan Rumah & Mandi,25700.0,1.0,25700.0,114500.0,0.2244541484716157,6,5,1,1,2025-01,1,0,0,0,26,13900.0,0.0,8725.0,34900.0,34900.0
2025-01-06,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,88800.0,0.0,0,6,1,2,2025-01,0,0,0,0,25,25700.0,0.0,12120.0,60600.0,60600.0
2025-01-07,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,88800.0,0.0,1,7,1,2,2025-01,0,0,0,0,24,0.0,0.0,10100.0,60600.0,60600.0
2025-01-08,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,88800.0,0.0,2,8,1,2,2025-01,0,0,0,0,23,0.0,0.0,8657.142857142857,60600.0,60600.0
2025-01-09,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,98700.0,0.0,3,9,1,2,2025-01,0,0,0,0,22,0.0,0.0,8657.142857142857,60600.0,60600.0
2025-01-10,Kebutuhan Rumah & Mandi,37900.0,1.0,37900.0,126700.0,0.2991318074191002,4,10,1,2,2025-01,0,0,0,0,21,0.0,21000.0,8657.142857142857,60600.0,60600.0
2025-01-11,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,88800.0,0.0,5,11,1,2,2025-01,1,0,0,0,20,37900.0,13900.0,11071.42857142857,77500.0,98500.0
2025-01-12,Kebutuhan Rumah & Mandi,26200.0,1.0,26200.0,115000.0,0.22782608695652173,6,12,1,2,2025-01,1,0,0,0,19,0.0,25700.0,9085.714285714286,63600.0,98500.0
2025-01-13,Kebutuhan Rumah & Mandi,0.0,0.0,0.0,88800.0,0.0,0,13,1,3,2025-01,0,0,0,0,18,26200.0,0.0,9157.142857142857,64100.0,124700.0
