date,master_category,target_daily_category_amount,transaction_count,avg_transaction_amount,day_of_week,day_of_month,month,year,week_of_year,year_month,is_weekend,is_payday,is_month_start,is_month_end,days_until_month_end,amount_lag_1,amount_lag_7,rolling_mean_7,rolling_sum_7,rolling_mean_14,rolling_sum_30,month_to_date_amount_before_today,daily_total_amount
2025-01-01,Hobi & Self-Reward,0.0,0.0,0.0,2,1,1,2025,1,2025-01,0,1,1,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2049428.0
2025-01-02,Hobi & Self-Reward,0.0,0.0,0.0,3,2,1,2025,1,2025-01,0,1,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218500.0
2025-01-03,Hobi & Self-Reward,0.0,0.0,0.0,4,3,1,2025,1,2025-01,0,1,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-01-04,Hobi & Self-Reward,0.0,0.0,0.0,5,4,1,2025,1,2025-01,1,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189400.0
2025-01-05,Hobi & Self-Reward,0.0,0.0,0.0,6,5,1,2025,1,2025-01,1,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174500.0
2025-01-06,Hobi & Self-Reward,0.0,0.0,0.0,0,6,1,2025,2,2025-01,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118000.0
2025-01-07,Hobi & Self-Reward,0.0,0.0,0.0,1,7,1,2025,2,2025-01,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107500.0
2025-01-08,Hobi & Self-Reward,0.0,0.0,0.0,2,8,1,2025,2,2025-01,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126900.0
2025-01-09,Hobi & Self-Reward,0.0,0.0,0.0,3,9,1,2025,2,2025-01,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118400.0
2025-01-10,Hobi & Self-Reward,0.0,0.0,0.0,4,10,1,2025,2,2025-01,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97200.0
2025-01-11,Hobi & Self-Reward,0.0,0.0,0.0,5,11,1,2025,2,2025-01,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141000.0
2025-01-12,Hobi & Self-Reward,0.0,0.0,0.0,6,12,1,2025,2,2025-01,1,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116200.0
2025-01-13,Hobi & Self-Reward,0.0,0.0,0.0,0,13,1,2025,3,2025-01,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205500.0
2025-01-14,Hobi & Self-Reward,0.0,0.0,0.0,1,14,1,2025,3,2025-01,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-01-15,Hobi & Self-Reward,0.0,0.0,0.0,2,15,1,2025,3,2025-01,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85500.0
2025-01-16,Hobi & Self-Reward,0.0,0.0,0.0,3,16,1,2025,3,2025-01,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107600.0
2025-01-17,Hobi & Self-Reward,0.0,0.0,0.0,4,17,1,2025,3,2025-01,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-01-18,Hobi & Self-Reward,0.0,0.0,0.0,5,18,1,2025,3,2025-01,1,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104400.0
2025-01-19,Hobi & Self-Reward,0.0,0.0,0.0,6,19,1,2025,3,2025-01,1,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157400.0
2025-01-20,Hobi & Self-Reward,0.0,0.0,0.0,0,20,1,2025,4,2025-01,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115600.0
