master_category,subcategory,name
Needs,Transport,Gojek
Needs,Transport,Grab
Wants,Hangout and Treats,Shopeefood
Wants,Hangout and Treats,Jajan
Needs,Transport,MRT
Needs,Transport,Transjakarta
Needs,Transport,Kereta
Needs,Transport,KRL
Needs,Transport,BRT
Needs,Transport,LRT
Needs,Transport,Becak
Needs,Transport,Ferry
Needs,Transport,Pesawat
Wants,Hangout and Treats,Bioskop
Wants,Hangout and Treats,Film
Needs,Transport,Damri
Needs,Transport,Bus
Needs,Transport,Angkot
Wants,Lifestyle,Baju
Wants,Lifestyle,Celana
