restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,"Berdua Bahagia Berbagi Kebahagiaan Dengan Yang Disisimu, Akan Selalu Menyenangkan. Ya Kan?",46000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,"Kompak Bertiga Bertiga Saling Menguatkan. Untuk Teman Yang Baik, Semangat Kalian harus terus berkobar.",63000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,Boba Coffee Milk Kopi Susu Dengan Boba Kenyal Bikin Ketagihan,14000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,Coffee Milk Kopi Espresso Berkolaborasi Dengan Susu Istimewa Bikin Merem Melek,14000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,"Coco Milk Coffee Andai Kamu Tahu Segarnya Kopi Susu Menyatu Dengan Haidro Coco, Rasa Kopi Kelapanya Nampol Tenin Sumpah",15000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,"Boba Choco Milk Racikan DarkCoklat Nikmat Diselami Boba Kenyal, Pasti Suka Kan Yang Kenyal-kenyal",14000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,"Choco Milk Racikan Dark Coklat Yang Kental Dan Susu Yang Segar Dan Manis, Begitulah",14000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,Red Velvet Paduan Racikan Redvelvet Dengan Topping Oreo Redvelvet (Selama Persediaan Masih Ada). Sangat Redvelvet.,15000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,Milky Honey Freshmilk Dan Madu Murni Berpadu. Susah Bercampur Tapi Sekali Kumpul Rasanya Nikmat Luarbiasa,14000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
"Kopi Semata, Anggrek, Yogyakarta 2026",Yogyakarta,boba,,Milky Way Hanya Es Dan Susu Saja. Sangat Menyegarkan,11000,MenuKuliner,https://menukuliner.net/menu/1076542/kopi-semata-anggrek,coffee boba,html_table,2026-04-28 02:55:58
