restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Pangsit Ayam 5 Pcs,16500,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Gyoza 5 Pcs,38000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Pangsit Babi Reguler Mie Babi Dengan Pangsit Ayam Goreng,26000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie babi komplit Mie Babi Dengan Pangsit Ayam Dan Charsiuw Babi,32000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Pangsit Babi Jumbo Mie Babi Dengan Porsi Besar,36000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Pangsit Ayam Reguler Mie Ayam Dengan Pangsit Ayam Goreng,22000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Pangsit Ayam Jumbo Mie Ayam Porsi Besar,28000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Ayam Bakso Mie Ayam Dengan Pangsit Dan Bakso Ayam 2 Pcs,25000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Babi Bakso Mie Babi Dengan Pangsit Ayam Dan Bakso 2 Pcs,30000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
"Mie Pangsit CW, Di Depan Kings Tattoo Ubud, Bali 2026",Unknown,fried chicken,,Mie Ayam Bakso Jumbo Mie Ayam Dengan Pangsit Ayam Goreng Dan Bakso Ayam 2 Pcs Porsi Besar,31000,MenuKuliner,https://menukuliner.net/menu/6754/mie-pangsit-cw-di-depan-kings-tattoo-ubud,ayam goreng,html_table,2026-04-28 03:14:32
