category,raw_category,product_name,price
cafe_drinks,bakery,jahe kunyit kapulaga bunga lawang cengkeh lemon madu jeruk nipis serai,21000
cafe_drinks,bakery,madu serai lemon cengkeh dan bunga lawang minuman hangat spesial,18000
cafe_drinks,boba,2 kopi boba + 1 milk candy boba,77000
cafe_drinks,boba,3 brown sugar fresh milk with boba,75000
cafe_drinks,boba,ali kopi boba ice ali kopi + boba kenyal,31000
cafe_drinks,boba,alpukat kocok susu large,27000
cafe_drinks,boba,alpukat kocok susu small,24000
cafe_drinks,boba,americano/hot espresso arabica gayo mineral water brown sugar,20000
cafe_drinks,boba,anggur squash,12500
cafe_drinks,boba,anggur yakult,15000
cafe_drinks,boba,anggur yakult,16000
cafe_drinks,boba,arome oreo brown sugar boba,20000
cafe_drinks,boba,arome regal brown sugar boba,20000
cafe_drinks,boba,authentic boba fresh milk chocolate,13000
cafe_drinks,boba,authentic boba fresh milk matcha,14000
cafe_drinks,boba,authentic boba fresh milk mocca,13000
cafe_drinks,boba,authentic boba fresh milk red velvet,13000
cafe_drinks,boba,authentic boba fresh milk strawberry,13000
cafe_drinks,boba,authentic boba fresh milk sweet brown sugar arome syrup marie cookies,16000
cafe_drinks,boba,authentic boba fresh milk sweet brown sugar arome syrup oreo cookies,16000
cafe_drinks,boba,authentic boba fresh milk sweet brown sugar machiato,16000
cafe_drinks,boba,authentic boba fresh milk sweet brown sugar oreo cookies marie cookies,16000
cafe_drinks,boba,authentic boba fresh milk taro,13000
cafe_drinks,boba,avocadabra jus alpukat fresh,31000
cafe_drinks,boba,avocado,13000
cafe_drinks,boba,avocado,20000
cafe_drinks,boba,avocado boba aren ukuran large,13000
cafe_drinks,boba,avocado cendol tanpa buah avocado cup datar,15000
cafe_drinks,boba,avocado choco lava boba,13500
cafe_drinks,boba,avocado choco lava boba,15000
cafe_drinks,boba,avocado coffe delight,13500
cafe_drinks,boba,avocado coffee delight boba,13500
cafe_drinks,boba,avocado kopi + boba+ jelly,15000
cafe_drinks,boba,avocado kopi boba,15000
cafe_drinks,boba,avocado kopi boba avocado kopi + boba+ jelly,15000
cafe_drinks,boba,avocado large,15000
cafe_drinks,boba,avocado large,19000
cafe_drinks,boba,avocado lava + boba+ jelly,15000
cafe_drinks,boba,avocado lava boba avocado lava + boba+ jelly,15000
cafe_drinks,boba,avocado milk rasakan kelembutan alpukat dipadu,20000
cafe_drinks,boba,avocado original,12500
cafe_drinks,boba,avocado original taste boba,13500
cafe_drinks,boba,banana coffee boba,25000
cafe_drinks,boba,banana milk caramel a dash of cinnamon signature cream and boba,32000
cafe_drinks,boba,banana smoothies pisang segar yang di blend,23400
cafe_drinks,boba,banana yakult jelly,18000
cafe_drinks,boba,beastea lemon tea+ lemon,12500
cafe_drinks,boba,beastea mangga tes+ mangga,12500
cafe_drinks,boba,belgian boba,15000
cafe_drinks,boba,belgian chocolate boba,13500
cafe_drinks,boba,belgian choklat boba choklat boba + jelly + slasi,15000
cafe_drinks,boba,belgian choklat boba choklat boba+ jelly,15000
cafe_drinks,boba,biskuit rasa susu paling,3000
