restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Nasi Kebuli Karee Ayam Nasi Kebuli Dengan Tambahan Karee Ayam Berkuah,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Maryam Topping Coklat Meses Roti Maryam Dengan Taburan Coklat Meses,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Maryam Gunting Choco Glaze Maryam Gunting With premium Chocolate N Honey,17000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Risoles Isi Pasta Kentang Risol Yang Isinya Pasta Kentang Plus Wortel Yang Susyah Bikin Move On,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Smooth Flurry Oreo Ukuran Medium Ice Cream Lembut Dengan Lapisan Dan Taburan Oreo Dalam Cup Berukuran Sedang,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Smooth Flurry Vanilla Oreo Small Cup Ice Cream Super Lembut Dengan Variasi Oreo,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Maryam Kuah Karee Daging Sapi Roti Maryam Gurih Dengan Kuah Karee Daging Sapi Dan Acar,35000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Nasi Kebuli Daging Sapi,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Maryam Gunting Cheezy Milk Roti Maryam Dengan Taburan Keju Dan Susu,16000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Maryam Kuah Karee Ayam Roti Maryam Yang Gurih Dengan Kuah Karee Yg Endolita,26000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Maryam Topping Coklat Keju Roti Maryam Dengan Variasi Coklat Meses Dan Keju Parut,18000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Maryam Topping Keju,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Maryam Polos,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Maryam Frozen 1 Pack Isi 5,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Ice Tea Yakult,8000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Es Teh Manis,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
