,category,subcategory,nama_produk
0,Prabayar & Pascabayar,,Indosat
1,Prabayar & Pascabayar,,Pulsa
2,Prabayar & Pascabayar,,Pascabayar
3,Prabayar & Pascabayar,,Paket Data
4,Prabayar & Pascabayar,,Roaming
5,Prabayar & Pascabayar,,eSim
6,Bayar,,Gopay Later
7,Bayar,,Tagihan Listrik
8,Bayar,,E-Invoicing
9,Bayar,,Upgrade Internet & TV
10,Bayar,,Tagihan Kartu Kredit
11,Bayar,,Premi Asuransi
12,Bayar,,Angsuran Kredit
13,Bayar,,Properti
14,Bayar,,Langganan
15,Bayar,,Internet dan TV Kabel
16,Bayar,,Air PDAM
17,Bayar,,Telkom
18,Bayar,Belajar,Agung Global
19,Bayar,Belajar,Arkademi
20,Bayar,Belajar,Infinite Learning
21,Bayar,Belajar,PINTAR
22,Bayar,Belajar,MyEduSolve
23,Bayar,Belajar,TAP Kapital Indonesia
24,Bayar,Belajar,Ruangguru
25,Bayar,Belajar,51Talk
26,Bayar,Belajar,Cakap
27,Bayar,Belajar,Career Companion by Prasmul Eli
28,Bayar,Belajar,CoLearn
29,Bayar,Belajar,DQLab
30,Bayar,Belajar,FPSB
31,Bayar,Belajar,GAMELAB.ID
32,Bayar,Belajar,Glints ExpertClass
33,Bayar,Belajar,Haltev
34,Bayar,Belajar,Inspigo
35,Bayar,Belajar,Kuncie
36,Bayar,Belajar,International Test Center
37,Bayar,Belajar,Kompas Digital
38,Bayar,Belajar,Leson.id
39,Bayar,Belajar,LISTER
40,Bayar,Belajar,Metronom Institute of Sound Indonesia
41,Bayar,Belajar,MySkill
42,Bayar,Belajar,NF Juara
43,Bayar,Belajar,Pahamify
44,Bayar,Belajar,Progate
45,Bayar,Belajar,Sang Juara School
46,Bayar,Belajar,Skill Academy
47,Bayar,Belajar,Skolla
48,Bayar,Belajar,Tanya Jawab Soal
49,Bayar,Belajar,Telkom University
50,Bayar,Belajar,UNIKA Soegijapranata
51,Bayar,Belajar,Universitas Ciputra
52,Bayar,Belajar,Universitas Kristen Krida Wacana
53,Bayar,Belajar,Universitas Kristen Petra
54,Bayar,Belajar,Universitas Surabaya
55,Bayar,,Bayar Sekaligus
56,Bayar,,Tokopedia Card
57,Bayar,,Tagihan Gas
58,Bayar,,Biaya Pendidikan
59,Bayar,,Bridestory Pay
60,Layanan Pemerintah,,Bayar Paspor
61,Layanan Pemerintah,,E-Tilang
62,Layanan Pemerintah,,Bayar KUA
63,Layanan Pemerintah,,BPJS
64,Layanan Pemerintah,,Penerimaan Negara
65,Layanan Pemerintah,,Daftar BPJS Ketenagakerjaan
66,Layanan Pemerintah,,Pajak Daerah
67,Layanan Pemerintah,,SBN
68,Layanan Pemerintah,,E-samsat
69,Layanan Pemerintah,,Bayar SPT Bulanan
70,Layanan Pemerintah,,SIGNAL
71,Layanan Pemerintah,,Pajak PBB
72,Layanan Pemerintah,,Retribusi
73,Donasi & Zakat,,Qurban
74,Donasi & Zakat,,Wakaf
75,Donasi & Zakat,,Donasi
76,Donasi & Zakat,,Fidyah
77,Donasi & Zakat,,Zakat Fitrah
78,Donasi & Zakat,,Zakat
79,Isi Ulang,,Top up DANA
80,Isi Ulang,,Tapcash
81,Voucher Games,Mobile Game,Mobile Legends: Bang Bang
82,Voucher Games,Mobile Game,Free Fire
83,Voucher Games,Mobile Game,PUBG Mobile
84,Voucher Games,Mobile Game,Genshin Impact
85,Voucher Games,Mobile Game,Free Fire MAX
86,Voucher Games,Mobile Game,Honkai: Star Rail
87,Voucher Games,Mobile Game,Honor of Kings
88,Voucher Games,Mobile Game,EA SPORTS FC Mobile
89,Voucher Games,Mobile Game,Call Of Duty Mobile ID
90,Voucher Games,Mobile Game,Zenless Zone Zero
91,Voucher Games,PC Game,Valorant
92,Voucher Games,PC Game,Point Blank
93,Voucher Games,PC Game,League of Legends - PC
94,Voucher Games,PC Game,Valorant MY
95,Voucher Games,PC Game,League of Legends - PC MY
96,Voucher Games,PC Game,Valorant PH
97,Voucher Games,PC Game,League of Legends - PC PH
98,Voucher Games,PC Game,Delta Force - Steam
99,Voucher Games,Voucher,Google Play (Indonesia)
100,Voucher Games,Voucher,Steam Voucher (Indonesia)
101,Voucher Games,Voucher,Roblox (Voucher Code)
102,Voucher Games,Voucher,Nintendo eShop Card (US)
103,Voucher Games,Voucher,PlayStation™Store Gift Cards (Indonesia)
104,Voucher Games,Voucher,Garena Shell
105,Voucher Games,Voucher,PUBG Mobile Voucher
106,Voucher Games,Voucher,Point Blank (Voucher Cash)
107,Voucher Games,Voucher,Arena Breakout Voucher
108,Voucher Games,Voucher,GeForce NOW
109,Voucher Games,Voucher,PlayStation™Store Gift Cards (US ONLY)
110,Voucher Games,Voucher,Steam Voucher (Malaysia)
111,Voucher Games,Voucher,PlayStation™Store Gift Cards (Malaysia)
112,Voucher Games,Voucher,XBOX (USA)
113,Voucher Games,Voucher,Megaxus Mi-Cash voucher
114,Voucher Games,Voucher,Minecraft
115,Voucher Games,Voucher,PC Game Pass
116,Voucher Games,Voucher,eFootball Powered by Google Play
117,Voucher Games,Voucher,Yalla Ludo Voucher
118,Voucher Games,Entertainment,Vidio
119,Voucher Games,Entertainment,WeTV (Voucher)
120,Voucher Games,Entertainment,IQIYI
121,Voucher Games,Entertainment,Bstation / Bilibili
122,Voucher Games,Entertainment,Viu Premium
123,Voucher Games,Entertainment,StarMaker (Global)
124,Voucher Games,Entertainment,SUGO: Voice Live Chat Party
125,Voucher Games,Entertainment,Bigo Live
126,Voucher Games,Entertainment,Dazz live
127,Voucher Games,Entertainment,Bstation / Bilibili MY
128,Voucher Games,Entertainment,IQIYI (Malaysia)
129,Voucher Games,Entertainment,Bigo Live Voucher
130,Voucher Games,Entertainment,Vision+
131,Voucher Games,Entertainment,Spotify
132,Voucher Games,Entertainment,Webtoon Koin
133,Voucher Games,Entertainment,Lita
134,Voucher Games,Entertainment,IDN App
135,Voucher Games,Entertainment,WeSing
136,Isi Ulang,,Mandiri E-money
137,Isi Ulang,,Top up GoPay
138,Isi Ulang,, JakCard
139,Isi Ulang,,Flazz
140,Isi Ulang,Streaming,TikTok LIVE Gift Card
141,Isi Ulang,Streaming,Google Play
142,Isi Ulang,Streaming,Youtube Premium
144,Isi Ulang,Streaming,Spotify Premium
145,Isi Ulang,Streaming,Spotify USD
146,Isi Ulang,Streaming,Viu
147,Isi Ulang,Streaming,BIGO Live
148,Isi Ulang,Streaming,iQIYI
149,Isi Ulang,Streaming,Webtoon Voucher
150,Isi Ulang,Streaming,Webtoon Coin
151,Isi Ulang,Streaming,iTunes
153,Isi Ulang,Streaming,WeTV
155,Isi Ulang,Streaming,ShortMax
156,Isi Ulang,Streaming,DramaBox
157,Isi Ulang,Streaming,NetShort
158,Isi Ulang,Streaming,GoodShort
159,Isi Ulang,Streaming,DramaWave
160,Isi Ulang,Streaming,Bilibili
161,Isi Ulang,Streaming,Twitch Gift Card (US)
162,Isi Ulang,Streaming,beIN SPORTS CONNECT
163,Isi Ulang,Streaming,NBA: Live Games & Scores
165,Isi Ulang,Streaming,Wifi.id
168,Isi Ulang,Streaming,Wattpad
169,Isi Ulang,Streaming,Catchplay+
170,Isi Ulang,Streaming,iQIYI (Malaysia)
