,kategori,nama_produk
0,Prabayar & Pascabayar,Indosat
1,Prabayar & Pascabayar,Pulsa
2,Prabayar & Pascabayar,Pascabayar
3,Prabayar & Pascabayar,Paket Data
4,Prabayar & Pascabayar,Roaming
5,Prabayar & Pascabayar,eSim
6,Bayar,Gopay Later
7,Bayar,Tagihan Listrik
8,Bayar,E-Invoicing
9,Bayar,Upgrade Internet & TV
10,Bayar,Tagihan Kartu Kredit
11,Bayar,Premi Asuransi
12,Bayar,Angsuran Kredit
13,Bayar,Properti
14,Bayar,Langganan
15,Bayar,Internet dan TV Kabel
16,Bayar,Air PDAM
17,Bayar,Telkom
18,Bayar,Belajar
19,Bayar,Bayar Sekaligus
20,Bayar,Tokopedia Card
21,Bayar,Tagihan Gas
22,Bayar,Biaya Pendidikan
23,Bayar,Bridestory Pay
24,Layanan Pemerintah,Bayar Paspor
25,Layanan Pemerintah,E-Tilang
26,Layanan Pemerintah,Bayar KUA
27,Layanan Pemerintah,BPJS
28,Layanan Pemerintah,Penerimaan Negara
29,Layanan Pemerintah,Daftar BPJS Ketenagakerjaan
30,Layanan Pemerintah,Pajak Daerah
31,Layanan Pemerintah,SBN
32,Layanan Pemerintah,E-samsat
33,Layanan Pemerintah,Bayar SPT Bulanan
34,Layanan Pemerintah,SIGNAL
35,Layanan Pemerintah,Pajak PBB
36,Layanan Pemerintah,Retribusi
37,Donasi & Zakat,Qurban
38,Donasi & Zakat,Wakaf
39,Donasi & Zakat,Donasi
40,Donasi & Zakat,Fidyah
41,Donasi & Zakat,Zakat Fitrah
42,Donasi & Zakat,Zakat
43,Isi Ulang,Top up DANA
44,Isi Ulang,Tapcash
45,Isi Ulang,Voucher Games
46,Isi Ulang,Mandiri E-money
47,Isi Ulang,Top up GoPay
48,Isi Ulang, JakCard
49,Isi Ulang,Flazz
50,Isi Ulang,Streaming
51,Isi Ulang,Top up OVO
52,Isi Ulang,Token Listrik
